Date Opened,Date Closed,Fiscal Year,Closure Description,Not Timely,Not Jurisdictional,Processor,Housing,Employment,Public Accommodations,Education,Credit,Race,Race Type,Disability,Age,Sex,Sex Type,Pregnancy,National Origin,National Origin Type,Familial Status,Marital Status,Religion,Religion Type,Creed,Color,Sexual Orientation,Gender Identity,Retaliation,Processing Days
10/31/2025,11/05/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,Yes,No,,No,No,,No,No,No,,No,No,No,No,No,5
10/30/2025,11/05/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,White,No,Yes,Yes,Male,No,Yes,Other National Origin,Yes,Yes,Yes,Other,No,Yes,Yes,Yes,No,6
10/27/2025,10/29/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,2
10/24/2025,10/29/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,5
10/24/2025,10/29/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,No,No,Yes,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,5
10/23/2025,10/29/2025,2026,Not Timely,Yes,No,ICRC,No,No,Yes,No,No,Yes,White,Yes,No,Yes,Female,Yes,Yes,Other National Origin,No,No,Yes,Other,No,No,No,No,Yes,6
10/22/2025,10/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,No,,Yes,No,No,,No,No,,No,No,No,,No,No,No,No,Yes,5
10/22/2025,10/30/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,8
10/21/2025,10/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,Yes,No,No,No,No,,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,6
10/21/2025,10/27/2025,2026,No Jurisdiction,No,Yes,ICRC,No,No,Yes,No,No,Yes,White,Yes,No,No,,No,No,,No,No,No,,No,Yes,No,No,Yes,6
10/16/2025,10/22/2025,2026,Not Timely,Yes,No,ICRC,No,No,Yes,No,No,Yes,Black,No,No,No,,No,No,,No,No,No,,No,Yes,No,No,Yes,6
